"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","/timesheet/PRAC-1185 - Update language of verification exception","events/{{event.id}}/to-convert","0","0","1","0","0"
"","/timesheet/PRAC-1177 - Warning text should be updated on validation Enum 146 Copy","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-1132 - The API endpoint for Edit and Convert timesheet is not allowing empty fee schedule id vlaue to be passed","events/{{event.id}}/to-convert/-%@@@@","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Admin notes are required","api/","0","0","3","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/The appointment is no longer active","api/","0","0","4","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Deleted service code","api/","0","0","4","0","0"
"","/timesheet/PRAC-1163 - A post on ?billingmanager/loadnotes not returning id values - It's always returning Id 0","auth/credentials","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/The appointment has already been converted","billing/service-codes","0","0","1","0","0"
"","/timesheet/Setup","events/{{event.id}}/to-convert","0","0","4","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Deleted service code","auth/credentials","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Authorization expired or not valid for service date","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","timesheets/convert-appointment/{{event.id}}/-%@@@@","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","timesheets","0","0","2","0","0"
"","/timesheet/PRAC-1224 Timesheets API - Return Resource Name for Draft & Converted Timesheets","converted-timesheets","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/The appointment has already been converted","timesheets/convert-appointment/{{event.id}}","0","0","2","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Note Template Required","api/","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Notes - Fields are required","api/","0","0","3","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","api/","0","0","5","0","0"
"","Auth","auth/credentials","0","0","3","0","0"
"","/timesheet/PRAC-866  Validation Service - Segment Start/End Time Modification/Change Start/End Time ","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint/PRAC-953 - Sort","events/{{event.id}}/to-convert","0","0","5","0","0"
"","/timesheet/PRAC-841 Timesheet Exception Migration Group 4: Authorizations & Scheduling/The appointment duration is longer","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-1132 - The API endpoint for Edit and Convert timesheet is not allowing empty fee schedule id vlaue to be passed","auth/credentials","0","0","1","0","0"
"","/timesheet/PRAC-1178 - Endpoint ?billingmanager.loadusercoderates should return a fee schedule id when there is only 1 rate returned (feeSchedules array is empty)","api/","0","0","1","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete/403","timesheets/{{draft.id}}","0","0","3","0","0"
"","/timesheet/PRAC-806 Validation Service - Validate Duration/Duration of appointment is within authorized allowed time (per appointment)","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-961 -  Draft Timesheets API - GET Timesheet Exceptions By TimesheetId","timesheets/{{draft.id}}/exceptions","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Place of service is required","api/","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Admin notes must be at least 140 characters","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-841 Timesheet Exception Migration Group 4: Authorizations & Scheduling/The appointment duration is longer","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO/403 Copy","timesheets/convert-draft/1","0","0","1","0","0"
"","/account","account/resetExpiredPassword","0","0","1","0","0"
"","/timesheet/PRAC-806 Validation Service - Validate Duration/Duration of appointment is within authorized allowed time (per appointment)","api/","0","0","3","0","0"
"","/timesheet/PRAC-1138 - Converted Timesheets - New Endpoint to POST Converted Timesheet","converted-timesheets","0","0","1","0","0"
"","/timesheet/PRAC-1165 - Timesheets - Converted Timesheet Does Not Require Fee Schedule Id ","converted-timesheets","0","0","1","0","0"
"","/timesheet/PRAC-1177 - Warning text should be updated on validation Enum 146","api/","0","0","3","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Service address required","api/","0","0","3","0","0"
"","/timesheet/PRAC- 804 Validation Service-Type of Service/Type of service on the appointment changed","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/The appointment is no longer active","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete/403","api/","0","0","3","0","0"
"","/timesheet/PRAC-1185 - Update language of verification exception","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","converted-timesheets","0","0","1","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete","timesheets/{{draft.id}}","0","0","3","0","0"
"","/timesheet/PRAC-1184 - Get Addresses data in a single endpoint","scheduling/appointment/locations","0","0","2","0","0"
"","/timesheet/Setup","timesheets/{{draft.id}}","0","0","2","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Service address required","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-1138 - Converted Timesheets - New Endpoint to POST Converted Timesheet","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1165 - Timesheets - Converted Timesheet Does Not Require Fee Schedule Id ","api/","0","0","4","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Note Template Required","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/The appointment is no longer active","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-914 - Appointment Conversion / Converted Timesheets: Members to API - loaddiagnosiscodes","billing/diagnosis-codes","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Admin notes are required","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1165 - Timesheets - Converted Timesheet Does Not Require Fee Schedule Id ","auth/credentials","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option/{{new_option.id}}/function","0","0","1","0","0"
"","/timesheet/PRAC-1132 - The API endpoint for Edit and Convert timesheet is not allowing empty fee schedule id vlaue to be passed","api/","0","0","2","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete","timesheets/{{timesheet.id}}","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Note Template Required","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-982 Unauthorized service-code requests returns 500 instead of 403","api/","0","0","2","0","0"
"","/timesheet/PRAC-961 -  Draft Timesheets API - GET Timesheet Exceptions By TimesheetId","events/{{event.id}}/to-convert","0","0","1","0","0"
"","/timesheet/PRAC-1165 - Timesheets - Converted Timesheet Does Not Require Fee Schedule Id ","converted-timesheets/{{timesheet.id}}","0","0","1","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Units of service","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-902 - Visit Verification Flag for Mobile GetScheduleEvent Endpoint","schedule/events/144085460","0","0","1","0","0"
"","/timesheet/PRAC-961 -  Draft Timesheets API - GET Timesheet Exceptions By TimesheetId","timesheets/{{draft.id}}","0","0","3","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Invalid authorization","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/Setup","auth/credentials","0","0","2","0","0"
"","/timesheet/PRAC-953 - Draft Time Sheet API - Get Timesheet List/DraftTimesheet -> Access permissions. - ZSquash1/Password1!/364908","api/","0","0","1","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete","events/{{event.id}}/to-convert","0","0","2","0","0"
"","/timesheet/PRAC-841 Timesheet Exception Migration Group 4: Authorizations & Scheduling/There was no authorization or billing code setup with the selected appointment","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Restrict Early Timesheet Conversion","api/","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Authorization deleted Copy","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Authorization expired or not valid for service date","api/","0","0","3","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Service address required","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Authorization is not authorized for general use","api/","0","0","3","0","0"
"","/timesheet/PRAC-1132 - The API endpoint for Edit and Convert timesheet is not allowing empty fee schedule id vlaue to be passed","timesheets","0","0","1","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","contacts","0","0","1","0","0"
"","/timesheet/PRAC-1138 - Converted Timesheets - New Endpoint to POST Converted Timesheet","api/","0","0","4","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Units of service","api/","0","0","2","0","0"
"","/timesheet/PRAC-953 - Draft Time Sheet API - Get Timesheet List/Billing-> Access permissions - CGarcia6/Password1!/290681","api/","0","0","1","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete","timesheets/574578467867585","0","0","1","0","0"
"","/timesheet/PRAC-1185 - Update language of verification exception","auth/credentials","0","0","1","0","0"
"","/timesheet/PRAC-866  Validation Service - Segment Start/End Time Modification/Service Lines - Copay has a precision of 6 and scale of 2 (####.##)","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Authorization expired or not valid for service date","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/account","account/delete","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Authorization expired or not valid for service date","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Copay has a precision of 6 and scale of 2 (####.##)","api/","0","0","3","0","0"
"","/timesheet/PRAC-866  Validation Service - Segment Start/End Time Modification/Change Start/End Time ","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Service address required","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Units of service","converted-timesheets","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option/{{new_option.id}}/function/{{new_function.id}}","0","0","1","0","0"
"","/timesheet/PRAC-982 Unauthorized service-code requests returns 500 instead of 403","billing/service-codes/{{service-codes.Id}}","0","0","3","0","0"
"","/timesheet/PRAC-957 - Draft Timesheet API - List Endpoint/PRAC-953 - Sort","timesheets/{{draft.id}}","0","0","5","0","0"
"","/timesheet/PRAC-951 - Draft Time Sheet API - Update and Delete","timesheets","0","0","1","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Time worked","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","timesheets/{{draft.id}}","0","0","3","0","0"
"","/timesheet/PRAC-841 Timesheet Exception Migration Group 4: Authorizations & Scheduling/Amount exceeds maximum authorized","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/Setup","timesheets","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Restrict Early Timesheet Conversion","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-841 Timesheet Exception Migration Group 4: Authorizations & Scheduling/The appointment duration is longer","api/","0","0","3","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1138 - Converted Timesheets - New Endpoint to POST Converted Timesheet","auth/credentials","0","0","1","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Service Lines - Service date is required","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1224 Timesheets API - Return Resource Name for Draft & Converted Timesheets","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-961 -  Draft Timesheets API - GET Timesheet Exceptions By TimesheetId","api/","0","0","2","0","0"
"","Auth","api/","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Service notes are required","api/","0","0","3","0","0"
"","/timesheet/PRAC-1132 - The API endpoint for Edit and Convert timesheet is not allowing empty fee schedule id vlaue to be passed","timesheets/convert-appointment/{{event.id}}","1","0","0","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/The appointment has already been converted","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-1177 - Warning text should be updated on validation Enum 146 Copy","billing/service-codes/{{code.id}}","0","0","2","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Invalid authorization","api/","0","0","3","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Authorization deleted","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/timesheet/PRAC-867  Validation Service - Service Address Change/Change Start/End Time ","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service code requires schedule conversion","billing/service-codes/{{code.id}}","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service code requires authorization","timesheets/convert-appointment/{{event.id}}","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option","0","0","1","0","0"
"","/timesheet/PRAC-840 Timesheet Exception Migration Group 3: Timesheet Conversion Requirements/Time worked","api/","0","0","2","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/Provider is not in network with the client","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Admin notes are required","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-806 Validation Service - Validate Duration/Duration of appointment is within authorized allowed time (per appointment)","timesheets/convert-appointment/{{event.id}}","0","0","2","0","0"
"","/timesheet/PRAC-961 -  Draft Timesheets API - GET Timesheet Exceptions By TimesheetId","timesheets/{{timesheet.id}}/exceptions","0","0","1","0","0"
"","/timesheet/PRAC-838 Timesheet Exception Migration Group 1: Security & Permissions/The appointment is no longer active","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint","billing/service-codes","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service code requires authorization","billing/service-codes","0","0","1","0","0"
"","/abctemplate","abctemplate","0","0","2","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option/{{new_option.id}}","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/share","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Service Lines - Service notes must be at least 140 characters","api/","0","0","3","0","0"
"","/timesheet/PRAC-1132 - The API endpoint for Edit and Convert timesheet is not allowing empty fee schedule id vlaue to be passed","timesheets/{{draft.id}}","0","0","2","0","0"
"","/timesheet/PRAC-1185 - Update language of verification exception","timesheets/{{timesheet.id}}","0","0","4","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","contacts/{{employee.new.id}}/credentials","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","timesheets/convert-draft/{{draft.id}}","1","0","1","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","permissions/groups/{{groups.id}}/permissions","0","0","1","0","0"
"","/timesheet/PRAC-1004  Converted Timesheet PUT endpoint/Billing > Timesheets > Allow Conversion Modification /The employee doesn't have permission","permissions/groups","0","0","1","0","0"
"","/timesheet/PRAC-839 Timesheet Exception Migration Group 2: Service Code & Fee Schedule Setup/Authorization deleted","internal/resources/delete","0","0","1","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO/403 Copy","api/","0","0","2","0","0"
"","/timesheet/PRAC-1027 - Update New Timesheet Endpoints for Updated DTO","crxapi/internal/timesheets/billing/query","0","0","2","0","0"
"","/timesheet/PRAC-914 - Appointment Conversion / Converted Timesheets: Members to API - loaddiagnosiscodes","billing/diagnosis-codes/4069","0","0","1","0","0"
